Locality Name
Navrangpura
Vastrapur
Satellite
Bopal
Maninagar
Chandkheda
Thaltej
Bodakdev
Ghatlodia
Isanpur
Vejalpur
Gota
Naranpura
Sabarmati
Ranip
Ellis Bridge
Paldi
Shahibaug
Memnagar
Jodhpur
Ambawadi
Kalupur
Naroda
Odhav
Vatva
Nikol
Gheekanta
Jamalpur
Sola
Sarkhej
Hansol
Asarwa
Dariapur
Gomtipur
Behrampura
Raipur
Vastral
Amraiwadi
New Ranip
Lambha
Rakhial
Kubernagar
Chandlodia
