name,type,tags,latitude,longitude,area_m2
,Polygon,"{""landuse"": ""industrial""}",22.82384126392598,72.6001460907042,195795.40029438405
AMGEN,Polygon,"{""landuse"": ""industrial"", ""power"": ""plant"", ""plant:source"": ""coal"", ""plant:output:electricity"": ""362 MW"", ""operator"": ""Torrent Power""}",23.071507400250024,72.59328863885138,437670.2837404475
ICD Khodiyar depot,Polygon,"{""landuse"": ""industrial""}",23.16549160297068,72.54944259323831,638732.1972025076
,Polygon,"{""landuse"": ""industrial""}",22.973104055150376,72.55948273092966,14032.09540244137
Wonder Industries,Polygon,"{""landuse"": ""industrial"", ""industrial"": ""manufacturing""}",22.755604194996113,72.33555411882855,51901.42643458372
,Polygon,"{""landuse"": ""industrial""}",23.01145155448509,72.34037197453047,1882733.8484485531
,Polygon,"{""landuse"": ""industrial""}",23.042637128018242,72.25763242221552,238752.48108889864
,Polygon,"{""landuse"": ""industrial""}",22.82401245817911,72.58746036749916,1060428.4800727598
Kathwada GIDC,Polygon,"{""landuse"": ""industrial""}",23.033945474921605,72.68277478270589,2219495.9032954494
,Polygon,"{""landuse"": ""industrial""}",23.021990721409047,72.67945906040107,1110374.6808299546
Ford India,Polygon,"{""landuse"": ""industrial""}",23.002550061897942,72.25966722193449,1862692.3623254301
Tata Motors,Polygon,"{""landuse"": ""industrial""}",23.014720744060547,72.26440118426515,2853219.27826928
Kotarpur,Polygon,"{""man_made"": ""wastewater_plant""}",23.094027450000006,72.6533733,43907.65513169823
,Polygon,"{""man_made"": ""wastewater_plant""}",23.09114453238745,72.68088659228036,32121.585913098563
New Cotton Mills,Polygon,"{""landuse"": ""industrial""}",23.007885758240953,72.61805105872531,152758.51014178392
,Polygon,"{""landuse"": ""industrial""}",22.254492354450697,72.18056690082726,14453.299055144727
,Polygon,"{""landuse"": ""farmland""}",22.23921761859609,72.21070607350572,170390.4057522068
,Polygon,"{""landuse"": ""industrial""}",23.023607325326992,72.6441009408954,366928.4292867836
Odhav industrial estate,Polygon,"{""landuse"": ""industrial""}",23.02499692544718,72.65448437982496,468876.56499565864
,Polygon,"{""landuse"": ""industrial""}",22.970545448078415,72.64081767098119,484793.1607938223
Vatva GIDC,Polygon,"{""landuse"": ""industrial""}",22.968735616025786,72.63256090263857,1643263.3058355467
,Polygon,"{""landuse"": ""industrial""}",22.974802330073928,72.6432902012507,972973.8057770625
Vatva Gidc,Polygon,"{""landuse"": ""industrial""}",22.957535549018356,72.63690925279265,1699673.7097462993
Odhav industrial estate,Polygon,"{""landuse"": ""industrial""}",23.01854959101532,72.6572116727452,570483.1386120236
,Polygon,"{""landuse"": ""industrial""}",22.9785315350368,72.63229306485246,378145.1120613259
Naroda GIDC,Polygon,"{""landuse"": ""industrial""}",23.090356772244107,72.67003698643863,2953786.1287271595
,Polygon,"{""landuse"": ""industrial""}",22.962102175637884,72.64924534135876,1249038.4552424632
,Polygon,"{""landuse"": ""industrial""}",23.099390329249637,72.67045979915461,539565.9573792436
,Polygon,"{""landuse"": ""industrial""}",23.094309709451114,72.66236168270308,81222.96954556614
Odhav industrial estate,Polygon,"{""landuse"": ""industrial""}",23.022467946791288,72.66052876354415,162172.0810012195
,Polygon,"{""landuse"": ""industrial""}",22.997271287100084,72.57108116491364,125122.33578130335
,Polygon,"{""landuse"": ""industrial""}",23.0016164812878,72.5739952200682,226775.46465309925
,Polygon,"{""landuse"": ""industrial""}",22.988427333233012,72.56493424255291,951341.7235242963
Calico Mills compound,Polygon,"{""landuse"": ""industrial"", ""industrial"": ""textile""}",23.007151015424178,72.57690039323136,250848.0117321354
Municipal Landfill,Polygon,"{""landuse"": ""landfill""}",22.980902924275885,72.56692568757659,421613.2542781991
,Polygon,"{""landuse"": ""industrial""}",22.964841629426154,72.58082742299455,2738707.793489869
,Polygon,"{""landuse"": ""industrial""}",22.937753987838104,72.55378626737222,1260904.0326409307
Piplaj,Polygon,"{""landuse"": ""industrial""}",22.95766358892151,72.55872344083431,2974068.0081748674
,Polygon,"{""landuse"": ""industrial""}",22.984281892809683,72.57942662997183,1916082.6091368562
GOVERMENT GODOWN,Polygon,"{""landuse"": ""industrial""}",22.99757230713385,72.58684006831538,37121.44934851721
,Polygon,"{""landuse"": ""industrial""}",22.986556831521565,72.5688893679613,180857.06887840774
Cairn ONGC,Polygon,"{""landuse"": ""industrial""}",23.101327475743663,72.05170324852787,1352683.3458542582
,Polygon,"{""landuse"": ""industrial""}",23.040313988906515,72.60457563521776,3979.631902517642
Pirana Sewage Treatment plant,Polygon,"{""man_made"": ""wastewater_plant""}",22.97220846593937,72.54882760459634,123912.4437248973
,Polygon,"{""landuse"": ""industrial""}",22.970992138458204,72.55439016586435,126079.46093172791
Transport Workshop,Polygon,"{""landuse"": ""industrial""}",23.01001593452024,72.58334185456695,31349.813217470466
Ankur Textile,Polygon,"{""landuse"": ""industrial""}",23.012643044406484,72.59331866346325,32588.833147105644
,Polygon,"{""man_made"": ""wastewater_plant""}",23.014276220862012,72.59383258991495,7825.623553796083
,Polygon,"{""landuse"": ""industrial""}",23.011803813028447,72.5895517124136,55285.367274159646
,Polygon,"{""landuse"": ""industrial""}",23.014325963776436,72.58996136716875,48286.41388072477
,Polygon,"{""landuse"": ""industrial""}",23.008592428234838,72.58897274990362,79027.77064503061
,Polygon,"{""landuse"": ""industrial""}",22.995195011465313,72.63855744130457,325834.99797187414
,Polygon,"{""landuse"": ""industrial""}",22.99361164741844,72.6343875925705,34050.38246316086
,Polygon,"{""landuse"": ""industrial""}",22.980691509678444,72.61499829686754,33210.448685975156
